height;books;receipt;petowner;dog;cat;bird;fish;rodent;snake;turtle;other;gender;email;stato_1;stato_2;stato_3;stato_4;stato_5
179;25;219,25;1;1;1;0;0;0;0;0;0;2;;0;0;0;1;0
157;113;259,85;1;0;1;0;0;0;0;0;1;2;;0;0;0;1;0
183;20;173,95;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
169;30;42;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
164;61;127;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
173;128;367;1;1;0;0;0;0;0;0;0;2;;0;0;0;1;0
169;75;277,65;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
167;60;249,5;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
160;30;180;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
163;40;146,9;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
;;;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
180;60;98;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
190;45;456;1;1;0;0;0;0;0;0;0;1;;0;0;0;1;0
171;10;75;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
166;80;18;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
188;30;234;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
164;60;64;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
168;40;131,5;1;1;0;0;0;0;0;0;0;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
173;30;39;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
162;10;150,85;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
178;45;155,1;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
160;27;121,5;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
164;22;173;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
168;20;70;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
162;80;217,4;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
161;34;36,5;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
164;78;51;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
193;57;333,15;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
160;30;174,65;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
169;318;42;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
172;21;99,8;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
179;20;8;1;1;0;0;0;0;0;0;0;2;;0;0;0;1;0
162;50;277;1;1;0;0;0;0;0;0;0;2;;0;0;0;1;0
160;13;49,75;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
164;89;137;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
165;20;87;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
179;50;82,5;1;0;1;0;0;0;0;0;0;1;;0;0;0;1;0
166;60;17,95;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
168;47;140,9;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
187;17;173;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
166;35;175;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
190;75;45;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
178;40;49,95;1;1;0;0;0;0;0;0;0;1;;0;0;0;1;0
142;11;96,85;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
190;30;37,5;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
189;30;234;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
177;52;106,95;1;1;0;0;0;0;0;0;0;2;;0;0;0;1;0
172;50;251;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
173;27;213,7;1;0;1;0;0;0;0;0;0;2;;0;0;0;1;0
161;46;86,8;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
174;400;1174,25;2;0;0;0;0;0;0;0;0;2;;0;0;0;1;0
168;52;225,88;1;0;1;0;0;0;0;0;0;2;;0;0;0;1;0
169;30;42,5;1;1;0;0;1;0;0;0;0;2;;0;0;0;1;0
189;35;234;2;0;0;0;0;0;0;0;0;1;;0;0;0;1;0
;;;;0;0;0;0;0;0;0;0;;;0;1;0;0;0
