"nwspol","gender","age","married","urban","native","edulevel","polintr","poldeltag","paidwork"
0,0,24,0,0,1,"Erhvervsuddannelse",3,2,1
60,1,77,1,0,1,"Lang videregående",1,3,1
30,0,33,0,0,1,"Kort/Mellemlang videregående",3,2,1
120,0,75,0,0,1,"Erhvervsuddannelse",2,1,0
60,0,32,1,0,1,"Erhvervsuddannelse",3,2,1
120,0,66,0,0,1,"Kort/Mellemlang videregående",2,2,0
45,1,64,0,0,1,"Erhvervsuddannelse",2,2,1
120,1,23,0,1,1,"Erhvervsuddannelse",1,2,1
60,1,59,1,0,1,"Lang videregående",2,1,0
60,0,56,1,1,1,"Lang videregående",2,2,1
150,1,69,1,0,1,"Erhvervsuddannelse",1,3,0
30,1,56,0,0,1,"Erhvervsuddannelse",3,2,1
120,1,73,1,0,1,"Kort/Mellemlang videregående",2,3,0
60,1,47,0,0,1,"Erhvervsuddannelse",2,2,1
5,1,48,0,0,1,"Erhvervsuddannelse",3,2,1
90,0,86,0,1,1,"Erhvervsuddannelse",2,2,0
15,1,86,0,0,1,"Grundskole",2,2,0
2,1,28,1,0,1,"Erhvervsuddannelse",2,3,1
20,0,17,0,1,1,"Gymnasium",2,2,0
60,0,70,0,1,1,"Erhvervsuddannelse",2,3,0
60,0,76,1,1,1,"Gymnasium",2,NA,0
15,0,52,1,0,1,"Kort/Mellemlang videregående",3,3,1
15,0,50,1,0,1,"Erhvervsuddannelse",2,2,1
120,1,22,0,0,1,"Erhvervsuddannelse",3,2,1
120,0,73,1,1,1,"Kort/Mellemlang videregående",2,3,0
120,1,64,0,0,1,"Erhvervsuddannelse",4,1,0
45,0,75,1,0,1,"Erhvervsuddannelse",3,1,0
120,0,42,0,1,1,"Lang videregående",1,3,1
120,1,68,0,0,1,"Grundskole",2,1,0
60,0,62,0,0,1,"Kort/Mellemlang videregående",3,2,1
60,0,68,0,0,0,"Lang videregående",3,1,0
150,0,65,1,1,1,"Kort/Mellemlang videregående",2,2,1
60,0,49,1,0,1,"Lang videregående",2,3,1
2,0,77,0,0,1,"Grundskole",4,1,0
60,1,73,1,0,1,"Grundskole",3,2,0
5,0,62,1,1,1,"Kort/Mellemlang videregående",3,1,0
120,0,24,0,1,1,"Kort/Mellemlang videregående",1,3,0
10,0,28,0,0,1,"Erhvervsuddannelse",2,3,0
